ID,Elevation,Slope,Ruggedness_Index,Forest_Age_Structure,Dis_Power_Lines,Dis_Log_Power_Lines,Dis_All_Roads,Dis_Log_All_Roads,Dis_All_Big_Roads,Dis_All_Log_Big_Roads,Dis_To_Mine,Dis_To_Log_Mine,Dis_Small_Roads,Dis_Log_Small_Roads,Broad_Leaved_Forest,Coniferous_Forest,Clear_Cut_Forest,Young_Forest,Mire,Lake,Flat_Areas,NE_Slop,SE_Slop,SW_Slop,NW_Slop,Pellet_Found_2009,Pellet_Found_2010
133,391,3.533268,2.69E-05,91,3996,8.293299359,300,5.707110265,2193,7.693481641,1208,7.097548851,300,5.707110265,0,1,0,0,0,0,0,0,0,1,0,1,0
134,396,4.289153,4.11E-05,91,3928,8.27614022,400,5.993961427,2154,7.675546003,1170,7.065613364,400,5.993961427,0,1,0,0,0,0,0,0,0,1,0,0,0
135,403,3.095727,0.000602086,91,3861,8.258940463,471,6.156978986,2118,7.658699558,1140,7.03966035,471,6.156978986,0,1,0,0,0,0,0,0,0,1,0,0,1
136,403,0.4529535,9.73E-05,91,3796,8.24196656,514,6.244166901,2088,7.644440762,1118,7.020190708,514,6.244166901,0,1,0,0,0,0,0,0,1,0,0,0,0
137,404,0.4529535,5.49E-05,91,3732,8.224967479,559,6.327936784,2061,7.631431665,1104,7.007600614,559,6.327936784,0,1,0,0,0,0,0,1,0,0,0,0,0
138,405,1.822526,9.67E-05,91,3670,8.208219383,522,6.259581464,2039,7.620705087,1100,7.003974137,522,6.259581464,0,1,0,0,0,0,0,0,0,0,1,0,1
139,405,1.474415,4.37E-05,69,3610,8.191740021,502,6.22059017,1984,7.593374193,1104,7.007600614,502,6.22059017,0,1,0,0,0,0,0,0,0,0,1,0,0
140,407,1.632739,2.05E-05,76,3546,8.173857455,500,6.216606101,1920,7.560601163,1118,7.020190708,500,6.216606101,0,1,0,0,0,0,0,0,0,0,1,0,1
141,409,1.632739,9.91E-05,54,3482,8.15564927,474,6.163314804,1860,7.528869257,1140,7.03966035,474,6.163314804,0,1,0,0,0,0,0,0,0,0,1,0,0
142,413,1.921039,0.000121223,46,3420,8.137688185,452,6.115892125,1802,7.497207223,1170,7.065613364,452,6.115892125,0,0,0,1,0,0,0,0,0,1,0,1,0
143,415,1.718358,0.000166787,46,3360,8.119993828,450,6.11146734,1749,7.467371067,1208,7.097548851,450,6.11146734,0,0,0,1,0,0,0,0,0,1,0,1,1
144,419,2.361028,3.67E-05,13,3301,8.102283624,450,6.11146734,1700,7.438971592,1252,7.133295955,450,6.11146734,0,0,0,1,0,0,0,0,0,0,1,1,0
145,422,1.742046,4.22E-05,13,3244,8.084870629,452,6.115892125,1655,7.412160335,1303,7.173191742,452,6.115892125,0,0,1,0,0,0,0,0,0,0,1,1,0
146,424,1.474415,5.38E-05,13,3190,8.068089626,474,6.163314804,1610,7.384610383,1360,7.215975003,474,6.163314804,0,0,0,1,0,0,0,0,0,0,1,0,0
147,427,3.095727,0.000527806,13,3138,8.051659557,514,6.244166901,1569,7.358830898,1421,7.25981961,514,6.244166901,0,0,1,0,0,0,0,0,0,0,1,0,1
148,436,6.482894,0.00080257,13,3088,8.035602693,570,6.34738921,1533,7.335633982,1486,7.304515946,570,6.34738921,0,0,0,1,0,0,0,0,0,0,1,0,0
149,439,7.387925,0.001036856,16,3041,8.020270473,636,6.456769656,1498,7.312553498,1555,7.349873705,636,6.456769656,0,0,0,1,0,0,0,0,0,0,1,0,0
150,456,6.254741,0.001719369,56,3041,8.020270473,680,6.523562306,1504,7.316548177,1662,7.416378479,680,6.523562306,0,1,0,0,0,0,0,0,0,0,1,0,0
151,461,8.448629,0.002108044,69,3000,8.006700845,763,6.638567789,1470,7.293697721,1735,7.459338895,763,6.638567789,0,1,0,0,0,0,0,0,0,0,1,0,1
